source_row_id,order_id,order_line_id,store_id,product_id,sale_date,quantity,unit_price,unit_cost,discount_amount,order_status,updated_at
R029,O2029,1,S001,P005,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R030,O2030,1,S002,P006,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R031,O2031,1,S003,P007,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R032,O2032,1,S004,P008,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R033,O1001,1,S001,P001,2026-04-01,2,12.00,6.00,1.00,COMPLETED,2026-04-02T10:00:00
R034,O1003,1,S003,P003,2026-04-01,3,10.00,6.00,0.00,COMPLETED,2026-04-02T10:00:00
R035,O1004,1,S004,P004,2026-04-01,1,10.00,6.00,0.00,CANCELLED,2026-04-02T10:00:00
R036,O1005,1,S001,P005,2026-04-01,1,10.00,6.00,2.00,COMPLETED,2026-04-02T10:00:00
R037,O1006,1,S002,P006,2026-04-01,1,10.00,12.00,0.00,COMPLETED,2026-04-02T10:00:00
R038,O1007,1,S003,P007,2026-04-01,1,11.00,6.00,0.00,COMPLETED,2026-04-02T10:00:00
R039,O1001,1,S001,P001,2026-04-01,2,12.00,6.00,1.00,COMPLETED,2026-04-02T10:00:00
R040,O1008,1,S004,P008,2026-04-01,1,10.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R041,O1009,1,S001,P001,2026-04-01,1,9.00,6.00,0.00,COMPLETED,2026-04-01T08:00:00
R042,O2001,1,S001,P001,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R043,O1010,1,S002,P002,2026-04-01,1,9.00,6.00,0.00,COMPLETED,2026-04-01T08:00:00
R044,O1011,1,S003,P003,2026-04-01,1,11.00,6.00,0.00,COMPLETED,2026-04-02T10:00:00
R045,O1011,1,S003,P003,2026-04-01,1,12.00,6.00,0.00,COMPLETED,2026-04-02T10:00:00
R046,O1012,1,S004,P004,2026-04-01,1,13.00,6.00,0.00,COMPLETED,2026-04-01T09:00:00
R047,X2001,1,S001,P001,2026-04-02,1,10.00,6.00,0.00,COMPLETED,
R048,X2002,1,S001,P001,2026-04-02,1,ten,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R049,X2003,1,S001,P001,2026-04-02,1,10.00,6.00,11.00,COMPLETED,2026-04-02T09:00:00
R050,O1013,1,S001,P005,2026-04-01,-1,10.00,6.00,0.00,COMPLETED,2026-04-02T11:00:00
